Set,Due Date,open
Hw01-1.4-Tangents-and-Velocity edit,1/22/2021,1/12/2021
Hw02-1.5-Limits edit,1/22/2021,1/12/2021
Hw03-1.6-Limit-Laws edit,1/27/2021,1/17/2021
Hw04-1.8A-Continuity edit,1/29/2021,1/19/2021
Hw05-1.8B-IVT edit,1/29/2021,1/19/2021
Hw06-2.1-Derivatives edit,2/3/2021,1/24/2021
Hw07-2.2-Derivative-Function edit,2/3/2021,1/24/2021
Hw08-2.3-Differentiation-Formulas edit,2/5/2021,1/26/2021
Hw09-2.4-Trig-Derivatives edit,2/12/2021,2/2/2021
Hw10-2.5-Chain-Rule edit,2/17/2021,2/7/2021
Hw11-2.7-Rates-of-Change edit,2/19/2021,2/9/2021
Hw12-2.6-Implicit-Differentiation edit,2/24/2021,2/14/2021
Hw13-2.8-Related-Rates edit,3/1/2021,2/19/2021
Hw14-2.9-Linear-Approximation edit,3/2/2021,2/20/2021
Hw15-3.1-Extreme-values edit,3/5/2021,2/23/2021
Hw16-3.2-Mean-Value-Theorem edit,3/12/2021,3/2/2021
Hw17-3.3-Derivatives-and-graphs edit,3/17/2021,3/7/2021
Hw18-3.4-Limits-at-infinity edit,3/19/2021,3/9/2021
Hw19-3.5-Curve-sketching edit,3/19/2021,3/9/2021
Hw20-3.7-Optimization edit,3/24/2021,3/14/2021
Hw21-3.8-Newton-method edit,3/25/2021,3/15/2021
Hw22-3.9-Antiderivatives edit,3/26/2021,3/16/2021
Hw23-4.1-Area-and-distance edit,3/31/2021,3/21/2021
Hw24-AppendixE-Sigma-notation edit,4/2/2021,3/23/2021
Hw25-4.2-Definite-integral edit,4/2/2021,3/23/2021
Hw26-4.3-Fundamental-Theorem edit,4/9/2021,3/30/2021
Hw27-4.4-5.5-More-integrals edit,4/14/2021,4/4/2021
Hw28-4.5-Substitution edit,4/16/2021,4/6/2021
Hw29-5.1-Area-between-curves edit,4/21/2021,4/11/2021
