Edit Set Data,Close,Open
Hw01-3D-intro-and-vectors edit,1/22/2021,1/12/2021
Hw02-dot-product edit,1/25/2021,1/15/2021
Hw03-cross-product edit,1/27/2021,1/17/2021
Hw04-lines-and-planes edit,2/1/2021,1/22/2021
Hw05-cylinders-and-quadric-surfaces edit,2/3/2021,1/24/2021
Hw06-vector-functions edit,2/5/2021,1/26/2021
Hw07-projectile-motion edit,2/5/2021,1/26/2021
Hw08-parametrizing-curves-and-arc-length edit,2/8/2021,1/29/2021
Hw09-cylindrical-and-spherical-coordinates edit,2/10/2021,1/31/2021
Hw10-parametrizing-surfaces edit,2/15/2021,2/5/2021
Hw11-functions-of-several-variables edit,2/17/2021,2/7/2021
Hw12-tangent-planes-and-approximations edit,2/19/2021,2/9/2021
Hw13-chain-rule edit,2/22/2021,2/12/2021
Hw14-directional-derivatives-and-gradients edit,2/24/2021,2/14/2021
Hw15-max-and-min-values edit,3/1/2021,2/19/2021
Hw16-Lagrange-multipliers edit,3/1/2021,2/19/2021
Hw17-vector-fields edit,3/4/2021,2/22/2021
Hw18-line-integrals edit,3/8/2021,2/26/2021
Hw19-fundamental-theorem-of-line-integrals edit,3/10/2021,2/28/2021
Hw20-double-integrals edit,3/15/2021,3/5/2021
Hw21-iterated-integrals edit,3/17/2021,3/7/2021
Hw22-double-integrals-over-general-regions edit,3/19/2021,3/9/2021
Hw23-change-of-variables edit,3/22/2021,3/12/2021
Hw24-double-integrals-in-polar edit,3/24/2021,3/14/2021
Hw25-triple-integrals edit,3/26/2021,3/16/2021
Hw26-cylindrical-integration edit,3/29/2021,3/19/2021
Hw27-spherical-integration edit,3/31/2021,3/21/2021
Hw28-curl-and-divergence edit,4/5/2021,3/26/2021
Hw29-Greens-theorem-pt1 edit,4/7/2021,3/28/2021
Hw30-Greens-theorem-pt2 edit,4/9/2021,3/30/2021
Hw31-surface-area edit,4/12/2021,4/2/2021
Hw32-surface-integrals edit,4/14/2021,4/4/2021
Hw33-Stokes-theorem edit,4/19/2021,4/9/2021
Hw34-divergence-theorem edit,4/21/2021,4/11/2021
Tutorial edit,4/23/2021,1/12/2021
